region,year,category,subcategory,subcategory_contribution,subcategory_weight_total,subcategory_score
제주,2017,사회·문화,사회적 가치관,8.01402930131805,0.1322645290581162,60.59091850541982
제주,2018,사회·문화,사회적 가치관,8.597938167196265,0.1322645290581162,65.00562341562026
제주,2019,사회·문화,사회적 가치관,8.467926132961269,0.1322645290581162,64.02265364163142
제주,2020,사회·문화,사회적 가치관,8.33791409872628,0.1322645290581162,63.03968386764265
제주,2021,사회·문화,사회적 가치관,7.44646760500496,0.1322645290581162,56.299808104507214
제주,2022,사회·문화,사회적 가치관,6.555021111283646,0.1322645290581162,49.55993234137183
제주,2023,사회·문화,사회적 가치관,7.1259446194111975,0.1322645290581162,53.87646007706346
제주,2024,사회·문화,사회적 가치관,7.6084560091843985,0.1322645290581162,57.524538614894176
충남,2016,사회·문화,사회적 가치관,6.617991646520926,0.1322645290581162,50.03602775172641
충남,2017,사회·문화,사회적 가치관,7.075195174659666,0.1322645290581162,53.49276351750264
충남,2018,사회·문화,사회적 가치관,7.532398702798404,0.1322645290581162,56.94949928327886
충남,2019,사회·문화,사회적 가치관,7.869925636091065,0.1322645290581162,59.50140746074913
충남,2020,사회·문화,사회적 가치관,8.20745256938372,0.1322645290581162,62.05331563821936
충남,2021,사회·문화,사회적 가치관,7.315240449222939,0.1322645290581162,55.30765127518557
충남,2022,사회·문화,사회적 가치관,6.423028329062158,0.1322645290581162,48.56198691215179
충남,2023,사회·문화,사회적 가치관,7.775825660997678,0.1322645290581162,58.78995461875519
충남,2024,사회·문화,사회적 가치관,9.155146628439514,0.1322645290581162,69.21845708471695
충북,2016,사회·문화,사회적 가치관,7.719194534644403,0.1322645290581162,58.36178898162967
충북,2017,사회·문화,사회적 가치관,8.102811548028658,0.1322645290581162,61.262166097974266
충북,2018,사회·문화,사회적 가치관,8.486428561412918,0.1322645290581162,64.1625432143189
충북,2019,사회·문화,사회적 가치관,7.336047834622984,0.1322645290581162,55.46496771934651
충북,2020,사회·문화,사회적 가치관,6.185667107833057,0.1322645290581162,46.767392224374184
충북,2021,사회·문화,사회적 가치관,6.68513872280813,0.1322645290581162,50.54370034365542
충북,2022,사회·문화,사회적 가치관,7.184610337783211,0.1322645290581162,54.32000846293672
충북,2023,사회·문화,사회적 가치관,7.593864032168957,0.1322645290581162,57.41421442503501
충북,2024,사회·문화,사회적 가치관,7.941229243706649,0.1322645290581162,60.04050594863059
강원,2016,가족·생활,가사수행 격차,2.3860940271347286,0.0551102204408817,43.29676071055381
강원,2017,가족·생활,가사수행 격차,2.3860940271347286,0.0551102204408817,43.29676071055381
강원,2018,가족·생활,가사수행 격차,2.3860940271347286,0.0551102204408817,43.29676071055381
강원,2019,가족·생활,가사수행 격차,2.3860940271347286,0.0551102204408817,43.29676071055381
강원,2020,가족·생활,가사수행 격차,2.3860940271347286,0.0551102204408817,43.29676071055381
강원,2021,가족·생활,가사수행 격차,3.0499696711430517,0.0551102204408817,55.343086032741205
강원,2022,가족·생활,가사수행 격차,3.7138453151513744,0.0551102204408817,67.3894113549286
