지역,연도,구조환경종합지수,합계출산율,구조환경_연도별순위,TFR_연도별순위,구조환경_연도별순위점수,TFR_연도별순위점수,순위차이_TFR_minus_구조환경,절대순위차이,연도별_Spearman_rho,구조환경_시도내_z,TFR_시도내_z,시도별_동시점_Pearson_r
세종,2022,55.19640817895289,1.121,9.0,1.0,50.0,100.0,-8.0,8.0,0.5000000000000001,0.4406654279901944,-0.8446810772758906,-0.9637276254650986
세종,2023,61.21467636447012,0.971,8.0,2.0,56.25,93.75,-6.0,6.0,0.5980392156862745,1.2664147411733493,-1.3846050613300818,-0.9637276254650986
세종,2024,63.47843315648379,1.028,8.0,1.0,56.25,100.0,-7.0,7.0,0.4917229618288157,1.5770183165868523,-1.179433947389489,-0.9637276254650986
울산,2016,28.7400687767909,1.418,17.0,4.0,0.0,81.25,-13.0,13.0,0.497854170829175,-1.3648090888973219,1.9692033648144476,-0.9288434476096522
울산,2017,32.43221669173718,1.261,16.0,5.0,6.25,75.0,-11.0,11.0,0.4558823529411765,-0.9518401481670393,1.1563244999348636,-0.9288434476096522
울산,2018,32.28619442964561,1.131,16.0,7.0,6.25,62.5,-9.0,9.0,0.5637254901960785,-0.9681728250500219,0.4832400895250177,-0.9288434476096522
울산,2019,35.247969153360714,1.084,16.0,6.0,6.25,68.75,-10.0,10.0,0.4607843137254902,-0.6368965602549409,0.23989418729991968,-0.9288434476096522
울산,2020,39.708373089977314,0.984,16.0,7.0,6.25,62.5,-9.0,9.0,0.5220588235294118,-0.13799772646849998,-0.2778630514768858,-0.9288434476096522
울산,2021,44.22919676358764,0.94,12.0,8.0,31.25,56.25,-4.0,4.0,0.5416666666666667,0.3676590908441407,-0.5056762365386802,-0.9288434476096522
울산,2022,48.79104916057937,0.848,12.0,8.0,31.25,56.25,-4.0,4.0,0.5000000000000001,0.87790499527481,-0.9820128962133406,-0.9288434476096522
울산,2023,53.90353798841821,0.814,11.0,8.0,37.5,56.25,-3.0,3.0,0.5980392156862745,1.449739912067066,-1.1580503573974545,-0.9288434476096522
울산,2024,53.140667111471174,0.859,13.0,7.0,25.0,62.5,-6.0,6.0,0.4917229618288157,1.3644123506518073,-0.9250595999478921,-0.9288434476096522
인천,2016,29.975678672661655,1.144,16.0,15.0,6.25,12.5,-1.0,1.0,0.497854170829175,-1.5474014909026066,1.8539633991895041,-0.9421604114718565
인천,2017,32.782664950341584,1.007,15.0,15.0,12.5,12.5,0.0,0.0,0.4558823529411765,-1.142459351081133,0.89710409772418,-0.9421604114718565
인천,2018,35.1869597187553,1.006,15.0,11.0,12.5,37.5,-4.0,4.0,0.5637254901960785,-0.7956103921016334,0.8901197232609303,-0.9421604114718565
인천,2019,38.1885047984136,0.94,14.0,12.0,18.75,31.25,-2.0,2.0,0.4607843137254902,-0.3626007628803389,0.42915100868639416,-0.9421604114718565
인천,2020,41.39416068309401,0.829,14.0,12.0,18.75,31.25,-2.0,2.0,0.5220588235294118,0.09985434913635176,-0.3461145567344158,-0.9421604114718565
인천,2021,42.23860541732677,0.778,14.0,15.0,18.75,12.5,1.0,1.0,0.5416666666666667,0.22167584158904152,-0.702317654360193,-0.9421604114718565
인천,2022,45.86794535537234,0.747,13.0,15.0,25.0,12.5,2.0,2.0,0.5000000000000001,0.7452525659706247,-0.91883326272096,-0.9421604114718565
인천,2023,49.20729457833101,0.694,17.0,15.0,0.0,12.5,-2.0,2.0,0.5980392156862745,1.226994579000248,-1.2890051092732389,-0.9421604114718565
인천,2024,51.47608003992358,0.762,15.0,13.0,12.5,25.0,-2.0,2.0,0.4917229618288157,1.5542946612694444,-0.8140676457722017,-0.9421604114718565
전남,2016,41.6379582392087,1.466,2.0,2.0,93.75,93.75,0.0,0.0,0.497854170829175,-1.307169606775332,1.894174296142825,-0.8926547711337698
전남,2017,43.46405328467856,1.325,4.0,2.0,81.25,93.75,-2.0,2.0,0.4558823529411765,-1.0933287014752344,1.0350938165841237,-0.8926547711337698
전남,2018,45.19381666012127,1.24,6.0,2.0,68.75,93.75,-4.0,4.0,0.5637254901960785,-0.8907685077562674,0.5172084211054743,-0.8926547711337698
전남,2019,48.33823534444503,1.234,3.0,2.0,87.5,93.75,-1.0,1.0,0.4607843137254902,-0.5225481679845654,0.4806518049540402,-0.8926547711337698
전남,2020,52.27581036838562,1.145,3.0,2.0,87.5,93.75,-1.0,1.0,0.5220588235294118,-0.061446972898712426,-0.06160466795889862,-0.8926547711337698
전남,2021,54.506817381618795,1.017,3.0,2.0,87.5,93.75,-1.0,1.0,0.5416666666666667,0.199810271418433,-0.8414791458561599,-0.8926547711337698
전남,2022,58.67049373104002,0.969,4.0,2.0,81.25,93.75,-2.0,2.0,0.5000000000000001,0.6873885725291207,-1.1339320750676323,-0.8926547711337698
전남,2023,64.22284410719593,0.972,4.0,1.0,81.25,100.0,-3.0,3.0,0.5980392156862745,1.3375845379176654,-1.115653766991915,-0.8926547711337698
전남,2024,66.89480366571311,1.028,3.0,1.0,87.5,100.0,-2.0,2.0,0.4917229618288157,1.650478575024889,-0.7744586829118634,-0.8926547711337698
전북,2016,40.95898390680795,1.251,3.0,9.0,87.5,50.0,6.0,6.0,0.497854170829175,-1.3329366098650437,1.9092291580832403,-0.9061029061728397
전북,2017,44.1302219203283,1.151,3.0,9.0,87.5,50.0,6.0,6.0,0.4558823529411765,-0.9829981996294357,1.267591278219568,-0.9061029061728397
전북,2018,45.59954381753082,1.044,4.0,10.0,81.25,43.75,6.0,6.0,0.5637254901960785,-0.8208620980062589,0.5810387467654378,-0.9061029061728397
전북,2019,46.721104332303895,0.971,5.0,10.0,75.0,43.75,5.0,5.0,0.4607843137254902,-0.6971006200442074,0.1126430944649559,-0.9061029061728397
전북,2020,51.751728184314715,0.909,4.0,10.0,81.25,43.75,6.0,6.0,0.5220588235294118,-0.14198349992877682,-0.2851723910505211,-0.9061029061728397
전북,2021,55.485964841252674,0.85,1.0,12.0,100.0,31.25,11.0,11.0,0.5416666666666667,0.2700804427967932,-0.6637387401700887,-0.9061029061728397
전북,2022,59.49525059957468,0.817,2.0,13.0,93.75,25.0,11.0,11.0,0.5000000000000001,0.7124953856253863,-0.8754792405251011,-0.9061029061728397
전북,2023,65.77737379072846,0.78,3.0,11.0,87.5,37.5,8.0,8.0,0.5980392156862745,1.4057124172843345,-1.1128852560746596,-0.9061029061728397
전북,2024,67.42562362238509,0.808,2.0,10.0,93.75,43.75,8.0,8.0,0.4917229618288157,1.587592781767209,-0.933226649712831,-0.9061029061728397
제주,2016,43.6305729764561,1.432,1.0,3.0,100.0,87.5,2.0,2.0,0.497854170829175,-1.2632308384397584,1.771076544409894,-0.9392949824431641
제주,2017,46.12625137050655,1.305,1.0,3.0,100.0,87.5,2.0,2.0,0.4558823529411765,-0.8664458356245772,1.1466655356928952,-0.9392949824431641
제주,2018,45.83309393208085,1.22,3.0,3.0,87.5,87.5,0.0,0.0,0.5637254901960785,-0.9130545955146073,0.7287526558429355,-0.9392949824431641
제주,2019,46.61459019107858,1.145,6.0,3.0,68.75,87.5,-3.0,3.0,0.4607843137254902,-0.7888054149848992,0.3600059971517947,-0.9392949824431641
제주,2020,51.307655957354775,1.021,6.0,5.0,68.75,75.0,-1.0,1.0,0.5220588235294118,-0.042660351693507785,-0.24965514521755894,-0.9392949824431641
제주,2021,52.51357321400612,0.951,9.0,6.0,50.0,68.75,-3.0,3.0,0.5416666666666667,0.1490670292126104,-0.5938186933292903,-0.9392949824431641
제주,2022,55.68700498924411,0.919,8.0,5.0,56.25,75.0,-3.0,3.0,0.5000000000000001,0.6536072531747109,-0.7511506010375101,-0.9392949824431641
