지역,연도,지표체계내_실질인구1인당예산_원,예산결측_사업수,log1p_지표체계내_실질인구1인당예산,종합재정대응지수_z,종합재정대응점수_0_100,연도별_종합재정대응순위,예산누락주의
충남,2022,500133.99351574184,0,13.122633327995873,0.3305358652752288,51.35103964029363,11.0,False
충남,2023,525079.8040114852,0,13.17130744213329,0.42922189411831263,52.590059619526855,11.0,False
충남,2024,469745.48974198883,0,13.059948444638934,0.2034432141481144,49.75536965735614,15.0,False
충북,2016,325945.87608514284,2,12.694489690275903,-0.5375188724387344,40.4524638671635,8.0,True
충북,2017,496163.0779643354,9,13.114661953351481,0.3143740239758779,51.14812495717336,4.0,True
충북,2018,329827.80702405836,13,12.706329032242957,-0.5135147860049222,40.75383927990835,13.0,True
충북,2019,441018.889426333,0,12.996845254151959,0.07550245165355873,48.149051491071994,8.0,False
충북,2020,611818.5604547389,0,13.324192682163556,0.7391944015729488,56.481817492974095,4.0,False
충북,2021,636354.8464369305,0,13.363513192832896,0.8189161411219019,57.48273757495895,3.0,False
충북,2022,560683.6001601205,0,13.23691381635224,0.5622378236981028,54.2600973770264,7.0,False
충북,2023,534732.5499576856,0,13.189523864354024,0.46615541413303335,53.0537662833588,10.0,False
충북,2024,636491.7290785374,0,13.363728273628473,0.8193522141757639,57.488212546770825,5.0,False
