연도,지역,대분류,중분류,구분,세부사업명,당해예산,전년도예산,증감액,증감율,출생환경_대영역,출생환경_세부영역
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,축하선물 및 축하카드발송,20.0,20.0,0.0,0.0,1. 경제·고용·주거,1-3. 경제적 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,신혼예비 난임부부 산전 검사 지원,0.0,0.0,0.0,,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,순천아이 꿈 통장 지원,2776.0,1060.0,1716.0,161.9,1. 경제·고용·주거,1-3. 경제적 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,산모 신생아 건강관리 예외대상자 확대 지원,300.0,300.0,0.0,0.0,3. 보건·안전,3-2. 산후조리 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,아이사랑 출산･육아용품 대여소 운영,30.0,50.0,-20.0,-40.0,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,출산축하선물 순천로컬푸드 상품권 지원,380.0,420.0,-40.0,-9.5,1. 경제·고용·주거,1-3. 경제적 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,난임부부 시술비 본인부담금 지원,10.0,20.0,-10.0,-50.0,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,임산부･영유아 프로그램 운영,6.0,7.0,-1.0,-14.3,2. 가족·생활,2-2. 여가 인프라
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,신혼 예비부모 엽산제 지원,40.0,0.0,40.0,,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,다문화 가족 안정적 정착을 위한 맞춤형 서비스 지원,282.0,368.0,-86.0,-23.4,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,순천형 한부모가족지원 자립지원 강화,131.0,131.0,0.0,0.0,1. 경제·고용·주거,1-3. 경제적 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,민간 가정어린이집 학부모 차액 보육료 지원,1688.0,0.0,1688.0,,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,유니세프 아동친화도시 추진,35.0,34.0,1.0,2.9,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,제97회 어린이날 기념행사 개최,58.0,54.0,4.0,7.4,2. 가족·생활,2-2. 여가 인프라
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,신혼부부 주택전세자금 대출이자 지원사업,180.0,0.0,180.0,,1. 경제·고용·주거,1-2. 주거안정성
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,시민 만성질환 관리의 날 운영,170.0,169.0,1.0,0.6,지표체계 외,지표체계 외
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,신혼부부 결혼장려금 지급,100.0,0.0,100.0,,1. 경제·고용·주거,1-3. 경제적 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,아빠와 자녀가 함께하는 추억여행 아자캠프,13.0,0.0,13.0,,2. 가족·생활,2-3. 가사수행 격차
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,다문화 가정 출산 축하용품 지원,2.0,1.0,1.0,100.0,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,출산장려금 지원,2500.0,3200.0,-700.0,-21.9,1. 경제·고용·주거,1-3. 경제적 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,탄생 축하기념 기저귀 지급,24.0,21.0,3.0,14.3,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,모성 건강관리,13.0,15.0,-2.0,-13.3,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,셋째아 이상 자녀학비 지원,150.0,180.0,-30.0,-16.7,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,빛가람 건강한 출산과 육아교실운영,13.0,9.0,4.0,44.4,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,영아 ‘오감체험놀이’ 프로그램 운영,2.0,2.0,0.0,0.0,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,마법의 샘 모유사랑 유축기 대여,4.0,10.0,-6.0,-60.0,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,우리 아기 첫 주민등록증 발급,1.0,1.0,0.0,0.0,4. 사회·문화,4-2. 사회적 가치관
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,가임기 여성 무료 산전검사,0.0,3.0,-3.0,-100.0,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,임산부 산전 무료 검진,71.0,76.0,-5.0,-6.6,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,광양시 신생아양육비 지원,2780.0,2492.0,288.0,11.6,1. 경제·고용·주거,1-3. 경제적 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,광양시 산후조리비용 지원,524.0,555.0,-31.0,-5.6,3. 보건·안전,3-2. 산후조리 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,유축기 대여사업,11.0,9.0,2.0,22.2,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,임산부 영유아 건강교실 운영,7.0,7.0,0.0,0.0,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,다둥이 출산맘 행복쿠폰 지급,325.0,0.0,325.0,,1. 경제·고용·주거,1-3. 경제적 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,다자녀 출산 축하 선물 지급,7.0,0.0,7.0,,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,장난감도서관 운영,43.0,49.0,-6.0,-12.2,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,"어린이집,유치원 졸업사진비 지원",65.0,65.0,0.0,0.0,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,초등학교 입학생 학용품 지원,135.0,0.0,135.0,,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,중학교 신입생 교복지원,220.0,0.0,220.0,,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,초･중･고등학생 100원 시내버스 운행,830.0,23.0,807.0,3508.7,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,청년 주택자금 대출이자 지원사업,300.0,70.0,230.0,328.6,1. 경제·고용·주거,1-2. 주거안정성
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,대학생 학자금 대출 이자 지원,52.0,42.0,10.0,23.8,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,청년 도서구입비 지원,50.0,0.0,50.0,,1. 경제·고용·주거,1-1. 고용여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,아빠랑 캠프 ‘난 토요일에 아빠랑 놀아’,7.0,0.0,7.0,,2. 가족·생활,2-3. 가사수행 격차
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,예비부모 영양제 지원,10.0,5.0,5.0,100.0,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,가임기 여성 풍진검사,1.0,3.0,-2.0,-66.7,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,임산부 등록관리 및 영･유아 건강관리,0.0,0.0,0.0,,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,임산부 영양제 지원,5.0,5.0,0.0,0.0,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,임산부 산전 검진 지원,35.0,35.0,0.0,0.0,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,영유아 안전장비 지원,20.0,20.0,0.0,0.0,3. 보건·안전,3-3. 아동안전 수준
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,사랑나누기 행복더하기 & 행복출산용품 나눔장터 운영,0.0,0.0,0.0,,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,"우울타파, 행복육아 산후우울증 극복 프로젝트",0.0,0.0,0.0,,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,담양맘의 행복한 육아 BAND 운영,0.0,0.0,0.0,,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,유축기 지원,1.0,1.0,0.0,0.0,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,산모 신생아 건강관리 서비스 지원,21.0,33.0,-12.0,-36.4,3. 보건·안전,3-2. 산후조리 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,"장난감, 유모차 무료 소독 실시",0.0,7.0,-7.0,-100.0,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,영･유아 영양제 지원,7.0,0.0,7.0,,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,취학 전 아동 시력검진 지원,2.0,2.0,0.0,0.0,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,출산장려금 지원,656.0,272.0,384.0,141.2,1. 경제·고용·주거,1-3. 경제적 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,출산축하용품 지원,24.0,24.0,0.0,0.0,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,다자녀 가정 기저귀 지원,38.0,0.0,38.0,,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,농어촌 신생아 양육비 지원,182.0,236.0,-54.0,-22.9,1. 경제·고용·주거,1-3. 경제적 여건
